,Name,Company,City,Year,KM_Driven,No._of_Owners,Fuel_Type,Calculated_Score,Original_Price,Discount,On_Road_Price
1427,MAHINDRATHAR,MAHINDRA,Gurgaon,2022,4460,1,Petrol,849000,1536099,0,1536099
1428,MARUTIALTO K10,MARUTI,Gurgaon,2018,42319,1,Petrol,315000,388599,40000,348599
1429,HONDABRIO,HONDA,Gurgaon,2012,42401,1,Petrol,140000,303799,0,303799
1430,MARUTIWAGON R 1.0,MARUTI,New Delhi,2018,43404,1,Petrol,507000,426799,0,426799
1431,MARUTIALTO 800,MARUTI,New Delhi,2018,20686,1,Petrol,169000,342599,11900,330699
1432,VOLKSWAGENVENTO,VOLKSWAGEN,New Delhi,2021,16336,1,Petrol,507000,1034899,47600,987299
1433,SKODARAPID,SKODA,Gurgaon,2021,10439,1,Petrol,367000,1209399,23850,1185549
1434,MARUTIDZIRE,MARUTI,New Delhi,2017,49507,2,Petrol,169000,554199,0,554199
1435,MARUTIBALENO,MARUTI,New Delhi,2018,63631,1,Petrol,715000,562199,0,562199
1436,MARUTICIAZ,MARUTI,New Delhi,2015,70882,1,Petrol,102000,572999,0,572999
1437,MARUTIS PRESSO,MARUTI,New Delhi,2020,64776,1,Petrol + CNG,507000,415699,0,415699
1438,MARUTIALTO 800,MARUTI,Gurgaon,2018,18657,1,Petrol,169000,334199,0,334199
1439,HYUNDAIGRAND I10,HYUNDAI,Gurgaon,2019,43686,1,Petrol + CNG,507000,520599,0,520599
1440,MARUTIBALENO,MARUTI,New Delhi,2016,48599,1,Petrol,181000,527119,5000,522119
1441,HYUNDAIGRAND I10,HYUNDAI,Noida,2018,31410,1,Petrol,169000,502499,5000,497499
1442,MARUTIVITARA BREZZA,MARUTI,New Delhi,2020,28347,1,Petrol,715000,987599,34200,953399
1443,MARUTICELERIO,MARUTI,New Delhi,2018,57050,2,Petrol + CNG,507000,456899,5000,451899
1444,HONDACITY,HONDA,Gurgaon,2021,8173,1,Petrol,474000,1631999,136850,1495149
1445,MARUTIALTO 800,MARUTI,Gurgaon,2018,32198,1,Petrol,169000,330799,0,330799
1446,RENAULTDUSTER,RENAULT,Ghaziabad,2018,95090,1,Petrol + CNG,507000,638399,0,638399
1447,HYUNDAICRETA,HYUNDAI,New Delhi,2018,57801,2,Diesel,315000,1273299,51100,1222199
1448,HYUNDAICRETA,HYUNDAI,Noida,2018,60418,2,Diesel,918000,1094699,145000,949699
1449,HONDACITY,HONDA,Gurgaon,2017,27601,1,Petrol,169000,1062799,28600,1034199
1450,MARUTIBALENO,MARUTI,New Delhi,2019,46520,1,Petrol,507000,646699,40500,606199
1451,HONDAWR-V,HONDA,Gurgaon,2018,38264,2,Petrol,370000,740199,32400,707799
1452,MARUTIBALENO,MARUTI,New Delhi,2016,50160,1,Petrol,181000,525199,13600,511599
1453,RENAULTDUSTER,RENAULT,New Delhi,2021,10821,1,Petrol,715000,1548199,139800,1408399
1454,HYUNDAINEW SANTRO,HYUNDAI,New Delhi,2019,68331,1,Petrol,507000,481199,13000,468199
1455,HYUNDAIGRAND I10,HYUNDAI,New Delhi,2017,18042,1,Petrol,169000,499399,19500,479899
1456,RENAULTKWID,RENAULT,New Delhi,2019,7124,1,Petrol,468000,388499,0,388499
1457,MARUTIBALENO,MARUTI,Noida,2020,45848,1,Petrol,507000,654999,0,654999
1458,FORDECOSPORT,FORD,Gurgaon,2017,64882,1,Petrol,507000,592399,0,592399
1459,MARUTIERTIGA,MARUTI,New Delhi,2019,20707,1,Petrol,474000,993099,0,993099
1460,HYUNDAIELITE I20,HYUNDAI,Noida,2017,85249,2,Petrol,507000,547699,0,547699
1461,HYUNDAIGRAND I10,HYUNDAI,Gurgaon,2014,47940,1,Petrol,181000,429699,0,429699
1462,MARUTIDZIRE,MARUTI,Noida,2017,24577,1,Diesel,169000,694599,5000,689599
1463,MARUTIALTO K10,MARUTI,New Delhi,2018,14674,2,Petrol,468000,394699,5000,389699
1464,RENAULTDUSTER,RENAULT,Gurgaon,2022,7069,1,Petrol,474000,1317199,5200,1311999
1465,MARUTIALTO K10,MARUTI,Gurgaon,2015,74103,1,Petrol + CNG,468000,308899,0,308899
1466,MARUTIALTO,MARUTI,Ghaziabad,2019,23009,1,Petrol,367000,410499,11800,398699
1467,HYUNDAIGRAND I10,HYUNDAI,Gurgaon,2016,47947,1,Petrol,181000,444499,11700,432799
1468,MARUTIBALENO,MARUTI,New Delhi,2019,43970,1,Petrol,507000,645199,28700,616499
1469,MARUTIWAGON R 1.0,MARUTI,New Delhi,2018,20567,1,Petrol,169000,444999,0,444999
1470,HYUNDAIGRAND I10 NIOS,HYUNDAI,New Delhi,2021,8463,1,Petrol + CNG,367000,811299,25400,785899
1471,FORDECOSPORT,FORD,New Delhi,2017,107067,1,Diesel,507000,529699,23100,506599
1472,MARUTIBALENO,MARUTI,New Delhi,2021,9468,1,Petrol,474000,948799,0,948799
1473,MARUTIALTO 800,MARUTI,New Delhi,2017,20364,1,Petrol,169000,308299,0,308299
1474,MARUTIBALENO,MARUTI,Gurgaon,2016,22237,1,Petrol,181000,550999,5000,545999
1475,HYUNDAIGRAND I10,HYUNDAI,Gurgaon,2017,18327,1,Petrol,370000,477220,0,477220
1476,HYUNDAICRETA,HYUNDAI,Gurgaon,2018,39372,1,Diesel,370000,1265799,0,1265799
1477,MARUTIBALENO,MARUTI,Gurgaon,2021,14602,1,Petrol,715000,942499,25100,917399
1478,MARUTIBALENO,MARUTI,New Delhi,2016,51070,1,Petrol,181000,525199,8700,516499
1479,HYUNDAIGRAND I10,HYUNDAI,Noida,2014,66283,1,Petrol,181000,378699,5500,373199
1480,HONDAAMAZE,HONDA,New Delhi,2018,70270,2,Diesel,507000,638799,0,638799
1481,MARUTISWIFT,MARUTI,New Delhi,2015,60643,1,Petrol,520000,411599,0,411599
1482,MARUTISWIFT,MARUTI,Noida,2018,33878,1,Petrol,169000,545299,0,545299
1483,MARUTIIGNIS,MARUTI,Gurgaon,2018,29535,1,Petrol,169000,482099,0,482099
1484,MARUTIIGNIS,MARUTI,Noida,2018,34337,1,Petrol,169000,502399,44200,458199
1485,MARUTIS PRESSO,MARUTI,Ghaziabad,2020,13523,2,Petrol,367000,445899,8200,437699
1486,SKODARAPID,SKODA,New Delhi,2020,18906,1,Petrol,367000,984699,38000,946699
1487,HYUNDAIVENUE,HYUNDAI,Noida,2021,6005,1,Petrol,367000,934399,0,934399
1488,MAHINDRATHAR,MAHINDRA,New Delhi,2021,42608,1,Diesel,715000,1610199,59300,1550899
1489,HYUNDAICRETA,HYUNDAI,Gurgaon,2019,71968,1,Diesel,715000,957899,61200,896699
1490,HONDAWR-V,HONDA,New Delhi,2017,59583,1,Petrol,507000,647599,5000,642599
1491,MARUTIBALENO,MARUTI,Noida,2019,38042,1,Petrol,715000,562199,0,562199
1492,MAHINDRASCORPIO,MAHINDRA,Noida,2018,42679,1,Diesel,715000,1093699,111800,981899
1493,MARUTIALTO 800,MARUTI,New Delhi,2018,22060,1,Petrol,169000,342599,0,342599
1494,HYUNDAIELITE I20,HYUNDAI,Noida,2017,47168,1,Petrol,169000,599699,11800,587899
1495,MARUTIALTO K10,MARUTI,New Delhi,2017,67975,1,Petrol,468000,317899,9600,308299
1496,MARUTICELERIO,MARUTI,New Delhi,2018,99421,1,Petrol + CNG,507000,475199,0,475199
1497,MARUTISWIFT,MARUTI,Gurgaon,2014,35393,1,Petrol,181000,456199,5000,451199
1498,TATANEXON,TATA,New Delhi,2022,10412,1,Diesel,474000,1239799,32500,1207299
1499,MARUTIALTO,MARUTI,Gurgaon,2021,21829,1,Petrol + CNG,507000,520399,33300,487099
1500,MARUTIVITARA BREZZA,MARUTI,New Delhi,2019,31588,1,Diesel,715000,938499,5000,933499
1501,MAHINDRATHAR,MAHINDRA,Gurgaon,2021,18128,1,Petrol,715000,1687199,55500,1631699
1502,MARUTIXL6,MARUTI,New Delhi,2020,70925,1,Petrol,715000,980399,64700,915699
1503,MARUTISWIFT,MARUTI,New Delhi,2018,46801,1,Petrol,507000,524499,11800,512699
1504,MARUTIALTO,MARUTI,New Delhi,2020,10487,1,Petrol,367000,390399,22100,368299
1505,HYUNDAICRETA,HYUNDAI,New Delhi,2015,49818,1,Petrol,520000,843099,61900,781199
1506,RENAULTTRIBER,RENAULT,Gurgaon,2021,10682,1,Petrol,367000,763999,17000,746999
1507,MARUTIIGNIS,MARUTI,New Delhi,2018,45876,1,Petrol,507000,503599,0,503599
1508,MARUTIWAGON R 1.0,MARUTI,Gurgaon,2017,18705,1,Petrol,169000,419099,0,419099
1509,HYUNDAICRETA,HYUNDAI,Gurgaon,2018,38406,1,Diesel,734000,1270199,0,1270199
1510,MARUTIBALENO,MARUTI,Gurgaon,2016,22763,1,Petrol,520000,536899,0,536899
1511,HYUNDAIGRAND I10,HYUNDAI,New Delhi,2017,34913,1,Petrol,169000,489899,0,489899
1512,HYUNDAIELITE I20,HYUNDAI,Noida,2017,60259,1,Petrol,507000,698999,12700,686299
1513,MARUTISWIFT,MARUTI,New Delhi,2014,79066,1,Petrol,181000,397299,5000,392299
1514,TATAALTROZ,TATA,Gurgaon,2021,22949,1,Diesel,715000,890399,81700,808699
1515,MAHINDRASCORPIO,MAHINDRA,Noida,2021,14445,2,Diesel,507000,2016299,229700,1786599
1516,MARUTIALTO,MARUTI,New Delhi,2021,8617,1,Petrol,367000,435599,19100,416499
1517,MARUTIBALENO,MARUTI,New Delhi,2018,39903,2,Petrol,169000,570699,29000,541699
1518,HYUNDAINEW SANTRO,HYUNDAI,New Delhi,2021,45369,1,Petrol + CNG,715000,626999,0,626999
1519,MARUTIBALENO,MARUTI,Gurgaon,2019,31803,1,Petrol,715000,710099,0,710099
1520,HYUNDAIELITE I20,HYUNDAI,New Delhi,2017,50347,2,Petrol,507000,648599,32970,615629
1521,HYUNDAIGRAND I10 NIOS,HYUNDAI,New Delhi,2021,33134,1,Petrol + CNG,715000,754599,0,754599
1522,HYUNDAICRETA,HYUNDAI,Gurgaon,2018,23571,1,Petrol,370000,989499,0,989499
1523,MARUTIS PRESSO,MARUTI,New Delhi,2021,12349,1,Petrol,507000,445899,6800,439099
1524,MARUTIBALENO,MARUTI,Gurgaon,2020,26001,1,Petrol,715000,785899,0,785899
1525,MARUTIALTO 800,MARUTI,New Delhi,2018,24990,1,Petrol,169000,342599,0,342599
1526,MARUTIBALENO,MARUTI,Gurgaon,2018,50893,1,Petrol,507000,595899,44300,551599
1527,VOLKSWAGENPOLO,VOLKSWAGEN,New Delhi,2017,46133,1,Petrol,169000,719999,31600,688399
1528,MARUTISWIFT,MARUTI,New Delhi,2018,42580,1,Petrol,507000,506999,6300,500699
1529,MARUTICIAZ,MARUTI,Gurgaon,2018,82500,2,Diesel,715000,740199,0,740199
1530,MARUTIBALENO,MARUTI,Gurgaon,2020,37235,2,Petrol,507000,688299,11900,676399
1531,HYUNDAICRETA,HYUNDAI,New Delhi,2018,77443,1,Diesel,715000,1065399,103900,961499
1532,MARUTIALTO K10,MARUTI,New Delhi,2018,32393,1,Petrol,169000,377999,5000,372999
1533,MARUTIBALENO,MARUTI,New Delhi,2017,41029,1,Petrol,169000,566299,36200,530099
1534,MARUTISWIFT,MARUTI,Gurgaon,2017,47518,1,Petrol,169000,455799,7100,448699
1535,HYUNDAINEW SANTRO,HYUNDAI,New Delhi,2021,78034,1,Petrol + CNG,507000,626999,11400,615599
1536,HYUNDAIGRAND I10 NIOS,HYUNDAI,New Delhi,2021,29011,1,Petrol + CNG,715000,781999,0,781999
1537,TOYOTAYARIS,TOYOTA,New Delhi,2021,8461,1,Petrol,367000,1175699,121600,1054099
1538,SKODARAPID,SKODA,New Delhi,2020,9770,1,Petrol,367000,1041399,40300,1001099
1539,MARUTIS PRESSO,MARUTI,New Delhi,2020,20342,2,Petrol,507000,432499,20400,412099
1540,HYUNDAIGRAND I10,HYUNDAI,Noida,2018,39637,1,Petrol,169000,500899,0,500899
1541,MARUTIALTO,MARUTI,New Delhi,2020,4690,1,Petrol,367000,394399,24200,370199
1542,TATAHARRIER,TATA,Noida,2019,43142,1,Diesel,507000,1431399,171800,1259599
1543,FORDECOSPORT,FORD,New Delhi,2017,27972,1,Petrol,169000,839599,0,839599
1544,MARUTIVITARA BREZZA,MARUTI,New Delhi,2018,31812,2,Diesel,370000,945199,6300,938899
1545,MARUTIXL6,MARUTI,Gurgaon,2019,57244,1,Petrol,507000,1027899,68000,959899
1546,HYUNDAINEW SANTRO,HYUNDAI,New Delhi,2019,69952,1,Petrol,507000,502899,13300,489599
1547,MARUTIBALENO,MARUTI,New Delhi,2018,39423,1,Petrol,169000,604299,53750,550549
1548,MARUTIALTO K10,MARUTI,Gurgaon,2017,66997,1,Petrol,507000,348399,10600,337799
1549,MARUTIALTO 800,MARUTI,New Delhi,2018,41435,1,Petrol,507000,332399,24000,308399
1550,MARUTIALTO K10,MARUTI,Noida,2018,23179,1,Petrol,468000,398899,8600,390299
1551,MARUTIBALENO,MARUTI,Gurgaon,2019,25639,1,Petrol,367000,689199,55400,633799
1552,MARUTIALTO K10,MARUTI,New Delhi,2018,40324,1,Petrol,468000,368899,0,368899
1553,HYUNDAIGRAND I10,HYUNDAI,Gurgaon,2015,84475,1,Petrol,102000,435699,5000,430699
1554,MARUTINEW  WAGON-R,MARUTI,Gurgaon,2020,73674,1,Petrol + CNG,507000,568599,0,568599
1555,HYUNDAIGRAND I10,HYUNDAI,Gurgaon,2017,32864,1,Petrol,169000,506099,0,506099
1556,MARUTIBALENO,MARUTI,Gurgaon,2019,26510,1,Petrol,367000,689899,27200,662699
1557,HYUNDAICRETA,HYUNDAI,Gurgaon,2018,40671,2,Diesel,315000,1311499,0,1311499
1558,HONDAWR-V,HONDA,Gurgaon,2020,59848,1,Diesel,715000,1055199,15000,1040199
1559,MARUTIVITARA BREZZA,MARUTI,New Delhi,2020,13779,1,Petrol,474000,874699,23300,851399
1560,SKODARAPID,SKODA,Noida,2016,30080,2,Petrol,140000,511599,5000,506599
1561,TOYOTAETIOS LIVA,TOYOTA,New Delhi,2019,31645,1,Petrol,507000,502899,6800,496099
1562,FORDECOSPORT,FORD,Gurgaon,2017,39340,2,Petrol,169000,717099,19500,697599
1563,MARUTIS PRESSO,MARUTI,Gurgaon,2020,57636,1,Petrol,507000,441199,29700,411499
1564,MARUTIBALENO,MARUTI,New Delhi,2015,73790,1,Petrol,102000,505799,21800,483999
1565,TATAHEXA,TATA,Noida,2018,67729,2,Diesel,507000,1124899,0,1124899
1566,MARUTIALTO K10,MARUTI,Ghaziabad,2019,17811,1,Petrol,367000,409699,13500,396199
1567,MARUTIBALENO,MARUTI,Gurgaon,2017,47400,2,Petrol,181000,539799,19200,520599
1568,TATAHEXA,TATA,New Delhi,2018,76644,1,Diesel,507000,1154999,68400,1086599
1569,MARUTISWIFT,MARUTI,New Delhi,2018,53917,1,Petrol,507000,545899,6800,539099
