,City,Car_Name,Maker,Variant,Year,Model,Fuel_Type,KM_Driven,ownerNumber,Listing_Price,Discount,Original_Price,Car_Id,Cash_Down_Payment,Ex_Showroom_Price,On_Road_Price,CalculatedScore
3861,Hyderabad,Honda Brio,Honda,1.2 S MT I VTEC,2012,Brio,Petrol,66606,1,377499,-3700,377499,10462778796,0,363601,377499,181000
3862,Hyderabad,Skoda KUSHAQ,Skoda,STYLE 1.5 TSI MT,2021,KUSHAQ,Petrol,8360,1,1647699,164200,1811899,10413777798,0,1635511,1647699,367000
3863,Hyderabad,Hyundai GRAND I10 NIOS,HYUNDAI,SPORTZ 1.2 AT,2021,GRAND I10 NIOS,Petrol,15480,1,762799,-17800,762799,10460775777,0,748901,762799,507000
3864,Hyderabad,Hyundai Grand i10,Hyundai,ASTA 1.2 AT VTVT,2014,Grand i10,Petrol,75612,1,478799,5100,483899,10499791709,0,469111,478799,181000
3865,Hyderabad,Honda City,Honda,CORPORATE MT,2012,City,Petrol,72093,1,495399,0,495399,10433275795,0,481501,495399,181000
3866,Hyderabad,Maruti Swift,Maruti,ZXI,2017,Swift,Petrol,68401,1,616999,30500,647499,10433790701,0,603101,616999,507000
3867,Hyderabad,Hyundai i10,HYUNDAI,SPORTZ 1.1 IRDE2,2016,I10,Petrol,455601,1,430899,0,430899,10416292739,0,421211,430899,181000
3868,Hyderabad,Hyundai i10,HYUNDAI,MAGNA 1.2 KAPPA2,2014,I10,Petrol,87581,1,387899,-34300,387899,10430896710,0,374001,387899,520000
3869,Hyderabad,MARUTI BREZZA,MARUTI,ZXI + SMART HYBRID,2022,BREZZA,Petrol,16175,1,1331199,41900,1373099,10476171797,0,1319011,1331199,715000
3870,Hyderabad,Maruti Celerio,Maruti,VXI (O),2018,Celerio,Petrol,30639,1,487799,-1300,487799,10400074795,0,475257,487799,169000
3871,Hyderabad,Ford Ecosport,FORD,1.5TITANIUM TDCI,2014,ECOSPORT,Diesel,74864,2,604899,-15000,604899,10422197730,0,591001,604899,181000
